NODE_ID,ARS-ID,정류소명,좌표X,좌표Y
100000078,01174,청계1가.광교,126.9849078726,37.5686078815
100000079,01175,청계2가.수표교,126.99156451,37.5684255774
100000080,01176,청계4가.세운교,126.9964924987,37.5688576315
100000081,01177,청계5가.광장시장,126.9998214525,37.5693781242
100000102,01198,원남동,126.9973383362,37.5745325055
100000103,01199,창덕궁.우리소리박물관,126.9886344578,37.5772989287
100000104,01200,안국역.인사동,126.9841842323,37.5758656523
100000105,01201,조계사.종로경찰서,126.9830699963,37.5723608203
100000106,01202,조계사.종로경찰서,126.9828944772,37.5724880557
100000107,01203,안국동,126.982783677,37.5746126493
100000108,01204,종로5가.효제동.김상옥의거터,127.0021111571,37.5744636711
100000109,01205,종로5가.효제초등학교,127.0020279531,37.5728818279
100000414,01209,창덕궁.돈화문국악당,126.991061212,37.5774776278
100000116,01212,종로5가,127.0020674817,37.5705560731
100000117,01213,청계6가.동대문시장,127.0028494203,37.5697520006
100000118,01214,동대문,127.0085128985,37.5717853606
100000119,01215,충신동,127.006331,37.574106
100000121,01217,충신동,127.0062426155,37.5744023584
100000122,01218,현대그룹빌딩,127.0005178806,37.5759190979
100000123,01219,방송통신대.이화장,127.0022981851,37.5781239863
100000124,01220,혜화역.마로니에공원,127.0021325403,37.5811068753
100000125,01221,혜화역.서울대병원입구,127.001921073,37.5810621214
100000126,01222,방송통신대.이화장,127.0020798079,37.5781308016
100000127,01223,이화동(이화장),127.0007063654,37.5760580629
100000128,01224,창경궁.서울대학교병원,126.9967378562,37.5788183311
100000129,01225,이화동(이화장),127.0032823109,37.5760347544
100000130,01226,혜화동로터리,127.0008280557,37.5857259848
100000131,01227,명륜동2가.성균관대입구,126.9992936097,37.5834067263
100000132,01228,혜화역.서울연극센터(장면총리가옥),127.0014345133,37.584037766
100000133,01229,혜화역.동성중고(장면총리가옥),127.0015280585,37.5845415827
100000135,01231,종로구민회관.창신동두산아파트,127.0155867992,37.5740922328
100000139,01235,동묘역앞,127.0156381868,37.5716870314
100000140,01236,동묘역앞,127.0157789136,37.5717866616
101000307,01237,청계2가교차로,126.9878778705,37.5684809008
100000142,01238,창신3동주민센터,127.0151880645,37.5787743807
